"name","district","state","address","phone"
"Ananthapur 3 Town Police Station","Anantapur","Andhra Pradesh","Anantapur, Andhra Pradesh","8554-275877"
"Bangarupalyam Police Station","Chittoor","Andhra Pradesh","Chittoor, Andhra Pradesh","+91 8573280233"
"Police Station","East Godavari","Andhra Pradesh","East Godavari, Andhra Pradesh","Not available"
"Rompicherlal Police Station","Guntur","Andhra Pradesh","Guntur, Andhra Pradesh","+91 8584288233"
"Police Station","Krishna","Andhra Pradesh","Krishna, Andhra Pradesh","Not available"
"SC \/ ST Cell","Kurnool","Andhra Pradesh","Kurnool, Andhra Pradesh","Not available"
"Police Station","Nellore","Andhra Pradesh","Nellore, Andhra Pradesh","Not available"
"Police Station","Prakasam","Andhra Pradesh","Prakasam, Andhra Pradesh","Not available"
"1 Town Police Station","Srikakulam","Andhra Pradesh","Srikakulam, Andhra Pradesh","Not available"
"Gopalapatnam Police Station","Visakhapatnam","Andhra Pradesh","Visakhapatnam, Andhra Pradesh","+91 891 252 0933"
"Police Station","Vizianagaram","Andhra Pradesh","Vizianagaram, Andhra Pradesh","Not available"
"Police Station","West Godavari","Andhra Pradesh","West Godavari, Andhra Pradesh","Not available"
"Police Station","Kadapa","Andhra Pradesh","Kadapa, Andhra Pradesh","Not available"
"Police Station","Tawang","Arunachal Pradesh","Tawang, Arunachal Pradesh","Not available"
"Police Station","West Kameng","Arunachal Pradesh","West Kameng, Arunachal Pradesh","Not available"
"Police Station","East Kameng","Arunachal Pradesh","East Kameng, Arunachal Pradesh","Not available"
"Police Station","Papum Pare","Arunachal Pradesh","Papum Pare, Arunachal Pradesh","Not available"
"Police Station","Kurung Kumey","Arunachal Pradesh","Kurung Kumey, Arunachal Pradesh","Not available"
"Police Station","Kra Daadi","Arunachal Pradesh","Kra Daadi, Arunachal Pradesh","Not available"
"Police Station","Lower Subansiri","Arunachal Pradesh","Lower Subansiri, Arunachal Pradesh","Not available"
"Police Station","Upper Subansiri","Arunachal Pradesh","Upper Subansiri, Arunachal Pradesh","Not available"
"Police Station","West Siang","Arunachal Pradesh","West Siang, Arunachal Pradesh","Not available"
"Police Station","East Siang","Arunachal Pradesh","East Siang, Arunachal Pradesh","Not available"
"Police Station","Siang","Arunachal Pradesh","Siang, Arunachal Pradesh","Not available"
"Police Station","Upper Siang","Arunachal Pradesh","Upper Siang, Arunachal Pradesh","Not available"
"Police Station","Lower Siang","Arunachal Pradesh","Lower Siang, Arunachal Pradesh","Not available"
"Police Station","Lower Dibang Valley","Arunachal Pradesh","Lower Dibang Valley, Arunachal Pradesh","Not available"
"Police Station","Dibang Valley","Arunachal Pradesh","Dibang Valley, Arunachal Pradesh","Not available"
"Police Station","Anjaw","Arunachal Pradesh","Anjaw, Arunachal Pradesh","Not available"
"Police Station","Lohit","Arunachal Pradesh","Lohit, Arunachal Pradesh","Not available"
"Police Station","Namsai","Arunachal Pradesh","Namsai, Arunachal Pradesh","Not available"
"Police Station","Changlang","Arunachal Pradesh","Changlang, Arunachal Pradesh","Not available"
"Police Station","Tirap","Arunachal Pradesh","Tirap, Arunachal Pradesh","Not available"
"Police Station","Longding","Arunachal Pradesh","Longding, Arunachal Pradesh","Not available"
"Police Station","Baksa","Assam","Baksa, Assam","Not available"
"Police Station","Barpeta","Assam","Barpeta, Assam","Not available"
"Police Station","Biswanath","Assam","Biswanath, Assam","Not available"
"Police Station","Bongaigaon","Assam","Bongaigaon, Assam","Not available"
"Police Station","Cachar","Assam","Cachar, Assam","Not available"
"Police Station","Charaideo","Assam","Charaideo, Assam","Not available"
"Police Station","Chirang","Assam","Chirang, Assam","Not available"
"Police Station","Darrang","Assam","Darrang, Assam","Not available"
"Police Station","Dhemaji","Assam","Dhemaji, Assam","Not available"
"Police Station","Dhubri","Assam","Dhubri, Assam","Not available"
"Police Station","Dibrugarh","Assam","Dibrugarh, Assam","Not available"
"Police Station","Goalpara","Assam","Goalpara, Assam","Not available"
"Assam Police Quarters","Golaghat","Assam","Golaghat, Assam","Not available"
"Police Station","Hailakandi","Assam","Hailakandi, Assam","Not available"
"Baghchung Police station","Jorhat","Assam","Jorhat, Assam","Not available"
"Police Station","Kamrup","Assam","Kamrup, Assam","Not available"
"Police Station","Kamrup Metropolitan","Assam","Kamrup Metropolitan, Assam","Not available"
"Police Station","Karbi Anglong","Assam","Karbi Anglong, Assam","Not available"
"Police Station","Karimganj","Assam","Karimganj, Assam","Not available"
"Police Station","Kokrajhar","Assam","Kokrajhar, Assam","Not available"
"Police Station","Lakhimpur","Assam","Lakhimpur, Assam","Not available"
"Police Station","Majuli","Assam","Majuli, Assam","Not available"
"Police Station","Morigaon","Assam","Morigaon, Assam","Not available"
"Police Station","Nagaon","Assam","Nagaon, Assam","Not available"
"Police Station","Nalbari","Assam","Nalbari, Assam","Not available"
"Police Station","Sivasagar","Assam","Sivasagar, Assam","Not available"
"Police Station","Sonitpur","Assam","Sonitpur, Assam","Not available"
"Tinsukia Police Station","Tinsukia","Assam","Tinsukia, Assam","Not available"
"Police Station","Udalguri","Assam","Udalguri, Assam","Not available"
"Peerbahor","Patna","Bihar","Patna, Bihar","Not available"
"Police Station","Gaya","Bihar","Gaya, Bihar","Not available"
"Police Station","Muzaffarpur","Bihar","Muzaffarpur, Bihar","Not available"
"Babarganj Police Station","Bhagalpur","Bihar","Bhagalpur, Bihar","Not available"
"Police Station","Purnia","Bihar","Purnia, Bihar","Not available"
"Police Station","Darbhanga","Bihar","Darbhanga, Bihar","Not available"
"Police Station","Bhojpur","Bihar","Bhojpur, Bihar","Not available"
"Police Station","Nalanda","Bihar","Nalanda, Bihar","Not available"
"Police Station","Rohtas","Bihar","Rohtas, Bihar","Not available"
"Police Station","Begusarai","Bihar","Begusarai, Bihar","Not available"
"Police Station","Araria","Bihar","Araria, Bihar","Not available"
"Police Station","Arwal","Bihar","Arwal, Bihar","Not available"
"Police Station","Aurangabad","Bihar","Aurangabad, Bihar","Not available"
"Police Station","Bagaha","Bihar","Bagaha, Bihar","Not available"
"Police Station","Banka","Bihar","Banka, Bihar","Not available"
"Police Station","Bhabhua","Bihar","Bhabhua, Bihar","Not available"
"Police Station","Gopalganj","Bihar","Gopalganj, Bihar","Not available"
"Police Station","Jamui","Bihar","Jamui, Bihar","Not available"
"Police Station","Jehanabad","Bihar","Jehanabad, Bihar","Not available"
"Police Station","Katihar","Bihar","Katihar, Bihar","Not available"
"Police Station","Khagaria","Bihar","Khagaria, Bihar","Not available"
"Railway Police Force RPF","Kishanganj","Bihar","Kishanganj, Bihar","Not available"
"Police Station","Lakhisarai","Bihar","Lakhisarai, Bihar","Not available"
"Police Station","Madhepura","Bihar","Madhepura, Bihar","Not available"
"Police Station","Madhubani","Bihar","Madhubani, Bihar","Not available"
"Police Station","Motihari","Bihar","Motihari, Bihar","Not available"
"Police Station","Munger","Bihar","Munger, Bihar","Not available"
"Police Station","Nawadah","Bihar","Nawadah, Bihar","Not available"
"Police Station","Saharsa","Bihar","Saharsa, Bihar","Not available"
"Police Station","Samastipur","Bihar","Samastipur, Bihar","Not available"
"Police Station","Saran","Bihar","Saran, Bihar","Not available"
"Police Station","Sheikhpura","Bihar","Sheikhpura, Bihar","Not available"
"Police Station","Sheohar","Bihar","Sheohar, Bihar","Not available"
"Police Station","Sitamarhi","Bihar","Sitamarhi, Bihar","Not available"
"Police Station","Siwan","Bihar","Siwan, Bihar","Not available"
"Police Station","Supaul","Bihar","Supaul, Bihar","Not available"
"Police Station","Vaishali","Bihar","Vaishali, Bihar","Not available"
"DDU Nagar Police station","Raipur","Chhattisgarh","Raipur, Chhattisgarh","+917712262501"
"tarbahar police station","Bilaspur","Chhattisgarh","Bilaspur, Chhattisgarh","Not available"
"Police Station","Durg","Chhattisgarh","Durg, Chhattisgarh","Not available"
"Police Station","Korba","Chhattisgarh","Korba, Chhattisgarh","Not available"
"Police Station","Rajnandgaon","Chhattisgarh","Rajnandgaon, Chhattisgarh","Not available"
"Police Station","Raigarh","Chhattisgarh","Raigarh, Chhattisgarh","Not available"
"Police Station","Bastar","Chhattisgarh","Bastar, Chhattisgarh","Not available"
"Police Station","Kanker","Chhattisgarh","Kanker, Chhattisgarh","Not available"
"Police Station","Dhamtari","Chhattisgarh","Dhamtari, Chhattisgarh","Not available"
"Police Station","Jagdalpur","Chhattisgarh","Jagdalpur, Chhattisgarh","Not available"
